Role,,Company_Type,Industry,,Location_Tier,Experience_Level,Job_Type,,Salary_LPA,Skills_Required,Education_Required
Android Developer,,Indian Unicorn,Banking & Finance,,Tier 1,Mid (3-6 yrs),Full-Time,,23.6,"Firebase, Kotlin, Jetpack Compose, Java",M.Tech/M.E.
Python Developer,,MNC,Information Technology,,Tier 1,Senior (6-10 yrs),Full-Time,,29.1,"REST APIs, Docker, Django",M.Tech/M.E.
Data Scientist,,PSU/Govt,Information Technology,,Remote,Mid (3-6 yrs),Internship,,2.8,"Python, Scikit-learn, Statistics, SQL",BCA
Data Engineer,,Startup,Information Technology,,Remote,Junior (1-3 yrs),Part-Time,,9.3,"Kafka, AWS, ETL",BCA
NLP Engineer,,Indian Unicorn,Information Technology,,Tier 2,Fresher (0-1 yr),Internship,,1.6,"Python, SpaCy, LLMs, Transformers, TensorFlow",B.Tech/B.E.
Node.js Developer,,Indian Unicorn,Manufacturing,,Remote,Fresher (0-1 yr),Contract,,6.8,"REST APIs, Node.js, JavaScript, TypeScript",BCA
Software Engineer,,Indian Unicorn,EdTech,,Tier 1,Junior (1-3 yrs),Full-Time,,14.8,"C++, Git, Python, Algorithms, REST APIs, Java",MBA
Java Developer,,Startup,Information Technology,,Tier 2,Mid (3-6 yrs),Full-Time,,20.1,"Microservices, REST APIs, Spring Boot, SQL",MCA
Software Engineer,,Indian Unicorn,Information Technology,,Remote,Lead (10+ yrs),Full-Time,,62.3,"Git, Algorithms, C++, Java, Data Structures, Python",B.Com + Certification
DevOps Engineer,,Startup,Consulting,,Tier 2,Fresher (0-1 yr),Full-Time,,6.1,"Jenkins, CI/CD, Terraform, Linux, Ansible",M.Tech/M.E.
Android Developer,,MNC,FinTech,,Tier 1,Senior (6-10 yrs),Full-Time,,35.4,"Jetpack Compose, Android SDK, Kotlin, Java, REST APIs, Firebase",B.Tech/B.E.
Java Developer,,MNC,Banking & Finance,,Tier 2,Junior (1-3 yrs),Full-Time,,8.1,"Maven, Hibernate, REST APIs, SQL, Microservices, Spring Boot",BCA
React Developer,,Startup,E-Commerce,,Remote,Mid (3-6 yrs),Full-Time,,17.4,"JavaScript, Next.js, TypeScript",B.Tech/B.E.
Cloud Engineer,,Startup,Manufacturing,,Remote,Mid (3-6 yrs),Full-Time,,15.1,"GCP, Docker, Azure, Kubernetes, Terraform",B.Tech/B.E.
Power BI Developer,,Indian Unicorn,Banking & Finance,,Tier 1,Junior (1-3 yrs),Contract,,14,"Excel, SQL, ETL, Power BI",M.Tech/M.E.
Software Engineer,,Indian Unicorn,E-Commerce,,Tier 1,Mid (3-6 yrs),Full-Time,,26,"C++, REST APIs, Java",B.Tech/B.E.
Power BI Developer,,Indian Unicorn,Banking & Finance,,Tier 2,Mid (3-6 yrs),Internship,,1.8,"Data Modeling, DAX, Excel, Power BI, SQL",B.Tech/B.E.
Data Analyst,,Startup,Logistics,,Tier 2,Mid (3-6 yrs),Full-Time,,24.8,"SQL, Power BI, Python, Statistics",BCA
Full Stack Developer,,Indian Unicorn,Information Technology,,Tier 1,Junior (1-3 yrs),Full-Time,,14.6,"PostgreSQL, Docker, Python, Node.js, AWS",M.Tech/M.E.
UI/UX Designer,,MNC,Information Technology,,Tier 1,Fresher (0-1 yr),Full-Time,,5.3,"Wireframing, Adobe XD, Figma",MCA
Node.js Developer,,MNC,Manufacturing,,Remote,Junior (1-3 yrs),Full-Time,,11.8,"REST APIs, MongoDB, TypeScript, Express.js, JavaScript, Node.js",M.Tech/M.E.
Full Stack Developer,,Indian Unicorn,Information Technology,,Remote,Mid (3-6 yrs),Full-Time,,20.7,"REST APIs, MongoDB, AWS, Docker",MCA
Data Scientist,,Startup,Information Technology,,Tier 1,Junior (1-3 yrs),Full-Time,,10.4,"Statistics, Tableau, Python, TensorFlow, Scikit-learn, Deep Learning",B.Tech/B.E.
Blockchain Developer,,Startup,Information Technology,,Tier 1,Mid (3-6 yrs),Full-Time,,18.6,"Smart Contracts, Web3.js, Solidity, Ethereum",B.Tech/B.E.
DevOps Engineer,,PSU/Govt,Banking & Finance,,Remote,Junior (1-3 yrs),Full-Time,,5.6,"Terraform, Ansible, Linux, Jenkins",B.Tech/B.E.
Business Analyst,,Indian Unicorn,E-Commerce,,Remote,Fresher (0-1 yr),Full-Time,,7.3,"Power BI, Requirements Gathering, Agile, SQL, Excel, JIRA",MCA
Python Developer,,Indian Unicorn,Manufacturing,,Tier 2,Mid (3-6 yrs),Internship,,2.7,"PostgreSQL, Django, AWS, Python, FastAPI, Docker",B.Sc (CS/IT)
Data Scientist,,Startup,Information Technology,,Tier 1,Mid (3-6 yrs),Full-Time,,17.6,"Scikit-learn, TensorFlow, Python, Machine Learning, Tableau, Statistics",MCA
Software Engineer,,MNC,FinTech,,Tier 1,Mid (3-6 yrs),Full-Time,,14.9,"Python, C++, Data Structures, Algorithms",B.Sc (CS/IT)
Java Developer,,MNC,Manufacturing,,Tier 2,Fresher (0-1 yr),Contract,,5,"SQL, Maven, Hibernate, Spring Boot",MBA
QA Engineer,,Startup,Information Technology,,Tier 1,Mid (3-6 yrs),Full-Time,,26.6,"Selenium, Python, JIRA, Postman",B.Tech/B.E.
Python Developer,,Indian Unicorn,Information Technology,,Tier 1,Lead (10+ yrs),Internship,,2.2,"FastAPI, PostgreSQL, Docker, Python, AWS",B.Tech/B.E.
Power BI Developer,,PSU/Govt,E-Commerce,,Tier 1,Senior (6-10 yrs),Part-Time,,17.1,"DAX, Data Modeling, Azure, Power BI",MCA
Machine Learning Engineer,,PSU/Govt,FinTech,,Tier 2,Lead (10+ yrs),Full-Time,,23,"MLOps, TensorFlow, Python, AWS",B.Tech/B.E.
Python Developer,,MNC,Media & Entertainment,,Tier 2,Fresher (0-1 yr),Full-Time,,4.4,"FastAPI, Docker, REST APIs",B.Tech/B.E.
Full Stack Developer,,MNC,Information Technology,,Remote,Junior (1-3 yrs),Full-Time,,13.3,"Node.js, React, PostgreSQL",M.Tech/M.E.
Frontend Developer,,Indian Unicorn,Media & Entertainment,,Remote,Junior (1-3 yrs),Internship,,1.9,"Next.js, Figma, React, JavaScript",B.Tech/B.E.
Data Analyst,,MNC,Banking & Finance,,Remote,Fresher (0-1 yr),Part-Time,,3.7,"Statistics, Python, SQL, Data Visualization, Tableau, Power BI",PhD
DevOps Engineer,,MNC,FinTech,,Remote,Fresher (0-1 yr),Full-Time,,6.4,"CI/CD, Ansible, Terraform, Linux",BCA
Backend Developer,,Indian Unicorn,Banking & Finance,,Tier 2,Fresher (0-1 yr),Full-Time,,7.7,"Redis, Java, MongoDB, Python, FastAPI",BCA
Data Scientist,,PSU/Govt,Information Technology,,Remote,Mid (3-6 yrs),Full-Time,,15.5,"SQL, Machine Learning, Pandas, Python, NLP, Deep Learning",B.Tech/B.E.
Power BI Developer,,PSU/Govt,Consulting,,Tier 2,Lead (10+ yrs),Part-Time,,24,"DAX, Azure, SQL",B.Tech/B.E.
Product Manager,,Indian Unicorn,Information Technology,,Tier 1,Lead (10+ yrs),Full-Time,,70.3,"SQL, A/B Testing, JIRA, Agile, Product Strategy",B.Tech/B.E.
Cloud Engineer,,MNC,FinTech,,Tier 2,Mid (3-6 yrs),Full-Time,,17.8,"AWS, Azure, Terraform, Linux",M.Tech/M.E.
MLOps Engineer,,PSU/Govt,Consulting,,Tier 2,Mid (3-6 yrs),Full-Time,,14.1,"Docker, AWS, Python, CI/CD, Airflow, MLflow",B.Tech/B.E.
React Developer,,Indian Unicorn,EdTech,,Remote,Mid (3-6 yrs),Full-Time,,19.7,"TypeScript, Redux, React",B.Tech/B.E.
MLOps Engineer,,PSU/Govt,Information Technology,,Tier 1,Fresher (0-1 yr),Full-Time,,3.7,"Docker, AWS, MLflow, Airflow, Python, Kubernetes",MCA
Software Engineer,,Startup,Manufacturing,,Remote,Senior (6-10 yrs),Full-Time,,35.5,"Data Structures, Python, Git",MBA
Full Stack Developer,,Indian Unicorn,Information Technology,,Tier 2,Mid (3-6 yrs),Full-Time,,26.6,"Docker, AWS, PostgreSQL, Node.js, MongoDB",B.Com + Certification
Product Manager,,MNC,Manufacturing,,Remote,Fresher (0-1 yr),Full-Time,,4.5,"User Research, Roadmapping, A/B Testing, SQL",MCA
Research Scientist,,MNC,E-Commerce,,Remote,Junior (1-3 yrs),Contract,,12.4,"PyTorch, Statistics, Python",B.Tech/B.E.
Backend Developer,,Indian Unicorn,HealthTech,,Remote,Senior (6-10 yrs),Full-Time,,60,"Django, Node.js, MongoDB, Redis, FastAPI, Python",M.Tech/M.E.
Machine Learning Engineer,,Startup,Information Technology,,Tier 1,Junior (1-3 yrs),Full-Time,,10.2,"MLOps, Kubernetes, AWS, TensorFlow",B.Tech/B.E.
DevOps Engineer,,MNC,Consulting,,Remote,Junior (1-3 yrs),Full-Time,,10.5,"Terraform, Docker, Kubernetes",B.Sc (CS/IT)
React Developer,,Startup,Banking & Finance,,Tier 2,Senior (6-10 yrs),Full-Time,,37.7,"TypeScript, HTML/CSS, Next.js, JavaScript, React",B.Tech/B.E.
Computer Vision Engineer,,Indian Unicorn,E-Commerce,,Tier 1,Senior (6-10 yrs),Full-Time,,65.1,"Deep Learning, OpenCV, YOLO, PyTorch, TensorFlow",B.Tech/B.E.
QA Engineer,,Startup,FinTech,,Remote,Mid (3-6 yrs),Full-Time,,17.5,"JIRA, Manual Testing, Python",B.Tech/B.E.
Full Stack Developer,,MNC,HealthTech,,Tier 1,Junior (1-3 yrs),Full-Time,,10.6,"PostgreSQL, Docker, MongoDB, React, AWS",B.Tech/B.E.
Java Developer,,MNC,FinTech,,Remote,Mid (3-6 yrs),Full-Time,,20.9,"Microservices, Java, SQL, Spring Boot, Hibernate",B.Tech/B.E.
Data Engineer,,Indian Unicorn,Information Technology,,Tier 2,Senior (6-10 yrs),Full-Time,,58.3,"dbt, ETL, Kafka, SQL, Python",M.Tech/M.E.
Backend Developer,,Startup,HealthTech,,Tier 2,Junior (1-3 yrs),Internship,,2.9,"Java, Docker, PostgreSQL, Node.js, FastAPI, Redis",B.Tech/B.E.
Frontend Developer,,MNC,Information Technology,,Tier 1,Mid (3-6 yrs),Part-Time,,17.9,"HTML/CSS, Figma, JavaScript, TypeScript, Tailwind CSS",B.Com + Certification
Backend Developer,,Indian Unicorn,Information Technology,,Tier 1,Mid (3-6 yrs),Full-Time,,25.4,"FastAPI, Python, Django, Docker, Java, PostgreSQL",B.Tech/B.E.
React Developer,,Indian Unicorn,Logistics,,Tier 1,Senior (6-10 yrs),Full-Time,,54.6,"Redux, TypeScript, React, Next.js, JavaScript",B.Tech/B.E.
Python Developer,,MNC,HealthTech,,Tier 1,Junior (1-3 yrs),Full-Time,,9.9,"REST APIs, Python, FastAPI, Docker, Django",B.Com + Certification
Cybersecurity Analyst,,Startup,Consulting,,Remote,Mid (3-6 yrs),Full-Time,,14.9,"Network Security, SIEM, Ethical Hacking, Penetration Testing",B.Tech/B.E.
Product Manager,,MNC,FinTech,,Tier 2,Fresher (0-1 yr),Full-Time,,6.3,"JIRA, User Research, Product Strategy, Roadmapping, SQL, Agile",B.Tech/B.E.
Backend Developer,,MNC,Information Technology,,Tier 1,Fresher (0-1 yr),Full-Time,,5.5,"Python, PostgreSQL, FastAPI, Docker",MBA
Cybersecurity Analyst,,Startup,Banking & Finance,,Remote,Mid (3-6 yrs),Full-Time,,22.5,"Ethical Hacking, Network Security, Penetration Testing, Python, SIEM",MCA
Data Analyst,,MNC,Information Technology,,Tier 1,Senior (6-10 yrs),Full-Time,,28.8,"Excel, Tableau, Power BI, Data Visualization, Statistics",BCA
UI/UX Designer,,Startup,Information Technology,,Remote,Lead (10+ yrs),Full-Time,,67.4,"CSS, Figma, Wireframing",MCA
Cloud Engineer,,Indian Unicorn,Government/PSU,,Tier 1,Mid (3-6 yrs),Part-Time,,22.9,"Kubernetes, Terraform, Docker, GCP",BCA
DevOps Engineer,,PSU/Govt,Information Technology,,Remote,Mid (3-6 yrs),Part-Time,,11.8,"Linux, CI/CD, Kubernetes, AWS",B.Tech/B.E.
Data Engineer,,Startup,Logistics,,Remote,Junior (1-3 yrs),Internship,,1.8,"dbt, Kafka, AWS, Spark, SQL",BCA
Machine Learning Engineer,,Startup,E-Commerce,,Tier 2,Fresher (0-1 yr),Full-Time,,7.3,"PyTorch, Python, TensorFlow, MLOps, Kubernetes",B.Tech/B.E.
Business Analyst,,Startup,Manufacturing,,Tier 2,Senior (6-10 yrs),Contract,,54.4,"Power BI, Agile, Excel",B.Tech/B.E.
Machine Learning Engineer,,MNC,Banking & Finance,,Tier 1,Fresher (0-1 yr),Full-Time,,4.6,"AWS, Python, Docker, MLOps, Kubernetes, TensorFlow",MBA
Backend Developer,,Indian Unicorn,Consulting,,Tier 2,Fresher (0-1 yr),Full-Time,,9.4,"Python, Redis, Docker, Node.js",BCA
Data Analyst,,MNC,Information Technology,,Remote,Junior (1-3 yrs),Full-Time,,9.2,"Data Visualization, Tableau, Power BI, Statistics, Excel",B.Sc (CS/IT)
Full Stack Developer,,PSU/Govt,EdTech,,Remote,Junior (1-3 yrs),Contract,,7.9,"React, Node.js, Python, AWS, Docker, MongoDB",B.Com + Certification
Machine Learning Engineer,,MNC,EdTech,,Tier 1,Fresher (0-1 yr),Full-Time,,6.8,"AWS, PyTorch, TensorFlow",M.Tech/M.E.
Backend Developer,,PSU/Govt,Information Technology,,Tier 2,Lead (10+ yrs),Full-Time,,24.9,"Docker, Redis, Java",M.Tech/M.E.
NLP Engineer,,MNC,HealthTech,,Remote,Senior (6-10 yrs),Full-Time,,42.6,"HuggingFace, BERT, Transformers, Python, LLMs",B.Tech/B.E.
Python Developer,,Startup,Banking & Finance,,Remote,Senior (6-10 yrs),Full-Time,,46.9,"Django, Python, PostgreSQL, FastAPI",B.Tech/B.E.
Data Engineer,,MNC,Gaming,,Tier 1,Mid (3-6 yrs),Full-Time,,17.2,"Python, Kafka, Airflow, SQL",MCA
AI Engineer,,PSU/Govt,Banking & Finance,,Remote,Lead (10+ yrs),Full-Time,,27.1,"RAG, LLMs, NLP, Vector DBs, LangChain",BCA
Cybersecurity Analyst,,Startup,Logistics,,Remote,Junior (1-3 yrs),Full-Time,,12,"Ethical Hacking, Penetration Testing, Network Security, Python, SIEM",B.Sc (CS/IT)
Cloud Engineer,,Startup,Information Technology,,Remote,Senior (6-10 yrs),Full-Time,,44.8,"Docker, AWS, Linux, GCP, Terraform",B.Tech/B.E.
Machine Learning Engineer,,MNC,Consulting,,Remote,Fresher (0-1 yr),Full-Time,,6.7,"MLOps, Kubernetes, Scikit-learn, Docker, Python",MBA
Product Manager,,MNC,E-Commerce,,Tier 1,Senior (6-10 yrs),Full-Time,,37,"Agile, SQL, User Research, A/B Testing",MCA
Data Scientist,,MNC,Banking & Finance,,Remote,Lead (10+ yrs),Full-Time,,63.1,"Scikit-learn, Machine Learning, Tableau, Python, SQL, TensorFlow",B.Tech/B.E.
Computer Vision Engineer,,Startup,HealthTech,,Tier 1,Junior (1-3 yrs),Full-Time,,15.5,"OpenCV, YOLO, Deep Learning, TensorFlow, PyTorch, Python",M.Tech/M.E.
Cloud Engineer,,MNC,Information Technology,,Tier 1,Mid (3-6 yrs),Full-Time,,14.9,"GCP, Azure, Kubernetes, Docker",M.Tech/M.E.
AI Engineer,,Startup,Media & Entertainment,,Remote,Junior (1-3 yrs),Internship,,1.7,"OpenAI API, Vector DBs, LLMs, Python, RAG, LangChain",B.Sc (CS/IT)
Full Stack Developer,,MNC,Information Technology,,Remote,Junior (1-3 yrs),Full-Time,,6.4,"PostgreSQL, REST APIs, AWS, Python, Docker",B.Tech/B.E.
Machine Learning Engineer,,Indian Unicorn,Logistics,,Tier 2,Senior (6-10 yrs),Full-Time,,48.7,"Docker, TensorFlow, Scikit-learn",MBA
Full Stack Developer,,MNC,FinTech,,Remote,Mid (3-6 yrs),Full-Time,,17,"MongoDB, Docker, PostgreSQL",BCA
Product Manager,,PSU/Govt,Logistics,,Remote,Mid (3-6 yrs),Part-Time,,10.8,"User Research, SQL, A/B Testing, Roadmapping",MCA
Java Developer,,MNC,Consulting,,Tier 1,Mid (3-6 yrs),Internship,,1.3,"Microservices, SQL, Java, Hibernate, Maven, REST APIs",M.Tech/M.E.
Data Scientist,,MNC,Information Technology,,Tier 1,Junior (1-3 yrs),Full-Time,,10.8,"SQL, Deep Learning, Pandas",MCA
Business Analyst,,Startup,Information Technology,,Remote,Fresher (0-1 yr),Contract,,5.7,"SQL, Power BI, Excel",M.Tech/M.E.
Software Engineer,,MNC,Banking & Finance,,Tier 2,Mid (3-6 yrs),Contract,,16,"Data Structures, Java, Algorithms, C++",MBA
Data Engineer,,Indian Unicorn,E-Commerce,,Tier 2,Fresher (0-1 yr),Full-Time,,6.9,"Kafka, Airflow, dbt, Python",BCA
Machine Learning Engineer,,Startup,Telecom,,Tier 1,Mid (3-6 yrs),Full-Time,,21.3,"Python, MLOps, TensorFlow, PyTorch",B.Com + Certification
Software Engineer,,Startup,Information Technology,,Tier 1,Mid (3-6 yrs),Part-Time,,15.9,"REST APIs, Algorithms, C++, Git",B.Tech/B.E.
Technical Lead,,PSU/Govt,E-Commerce,,Remote,Junior (1-3 yrs),Full-Time,,7,"System Design, Agile, Team Leadership, Microservices",B.Tech/B.E.
Frontend Developer,,MNC,HealthTech,,Remote,Mid (3-6 yrs),Full-Time,,19.2,"Tailwind CSS, React, JavaScript, TypeScript",M.Tech/M.E.
Product Manager,,Indian Unicorn,Banking & Finance,,Remote,Mid (3-6 yrs),Full-Time,,25.4,"Agile, Roadmapping, JIRA, User Research, SQL",B.Tech/B.E.
DevOps Engineer,,Indian Unicorn,Information Technology,,Remote,Junior (1-3 yrs),Full-Time,,12.3,"AWS, Jenkins, Terraform",B.Tech/B.E.
MLOps Engineer,,Indian Unicorn,Manufacturing,,Tier 2,Mid (3-6 yrs),Full-Time,,26.9,"Airflow, Kubernetes, MLflow, Python, CI/CD, AWS",M.Tech/M.E.
Data Scientist,,Indian Unicorn,Consulting,,Tier 1,Senior (6-10 yrs),Full-Time,,64.9,"Pandas, Machine Learning, Deep Learning",B.Com + Certification
Software Engineer,,MNC,Logistics,,Remote,Mid (3-6 yrs),Contract,,18,"Python, Algorithms, C++",B.Tech/B.E.
Full Stack Developer,,Indian Unicorn,Consulting,,Tier 1,Fresher (0-1 yr),Full-Time,,7.2,"AWS, Docker, MongoDB, REST APIs, PostgreSQL",B.Com + Certification
Python Developer,,MNC,Information Technology,,Remote,Mid (3-6 yrs),Internship,,2.7,"PostgreSQL, AWS, Python, Docker",MCA
Data Analyst,,Startup,FinTech,,Tier 1,Mid (3-6 yrs),Full-Time,,19.3,"Statistics, Power BI, Excel",B.Tech/B.E.
AI Engineer,,Startup,EdTech,,Tier 2,Lead (10+ yrs),Internship,,1.5,"RAG, Vector DBs, OpenAI API, NLP, Python",BCA
Python Developer,,Startup,Consulting,,Tier 1,Mid (3-6 yrs),Full-Time,,19.8,"Django, AWS, Python",B.Sc (CS/IT)
Java Developer,,MNC,Banking & Finance,,Remote,Junior (1-3 yrs),Contract,,10,"REST APIs, Maven, SQL",MBA
Backend Developer,,MNC,Information Technology,,Remote,Fresher (0-1 yr),Full-Time,,5.1,"PostgreSQL, Docker, Java",B.Tech/B.E.
Engineering Manager,,Startup,Information Technology,,Tier 1,Fresher (0-1 yr),Full-Time,,7.2,"People Management, OKRs, Agile, Hiring, System Design",B.Tech/B.E.
Data Scientist,,Indian Unicorn,Media & Entertainment,,Tier 1,Senior (6-10 yrs),Contract,,60.8,"Statistics, TensorFlow, NLP, Scikit-learn, Python",MBA
Product Manager,,Startup,Information Technology,,Remote,Senior (6-10 yrs),Full-Time,,45,"JIRA, SQL, Agile, Product Strategy",M.Tech/M.E.
Data Analyst,,Startup,Information Technology,,Remote,Junior (1-3 yrs),Full-Time,,12.3,"Power BI, SQL, Data Visualization",M.Tech/M.E.
Business Analyst,,Indian Unicorn,Information Technology,,Tier 1,Mid (3-6 yrs),Full-Time,,31.7,"Agile, SQL, JIRA",B.Com + Certification
Cloud Engineer,,MNC,EdTech,,Tier 2,Fresher (0-1 yr),Contract,,3.8,"AWS, GCP, Terraform, Linux",M.Tech/M.E.
Research Scientist,,Indian Unicorn,Government/PSU,,Remote,Mid (3-6 yrs),Full-Time,,24.2,"Statistics, Python, Publications, NLP, R",B.Tech/B.E.
Product Manager,,Indian Unicorn,HealthTech,,Tier 1,Mid (3-6 yrs),Full-Time,,16.1,"SQL, Agile, Roadmapping, A/B Testing, Product Strategy",M.Tech/M.E.
UI/UX Designer,,Startup,Media & Entertainment,,Remote,Fresher (0-1 yr),Full-Time,,6.2,"Figma, User Research, Prototyping, Adobe XD, CSS",MCA
Backend Developer,,MNC,EdTech,,Tier 1,Mid (3-6 yrs),Full-Time,,21.8,"Python, MongoDB, Java",MCA
Full Stack Developer,,Indian Unicorn,Information Technology,,Tier 1,Mid (3-6 yrs),Contract,,21.2,"React, Node.js, Python",MBA
Python Developer,,MNC,FinTech,,Tier 2,Senior (6-10 yrs),Full-Time,,40.2,"Python, PostgreSQL, Django, REST APIs, AWS, Docker",MCA
Machine Learning Engineer,,MNC,HealthTech,,Tier 1,Lead (10+ yrs),Full-Time,,50.9,"Python, MLOps, Docker, AWS, TensorFlow",PhD
Business Analyst,,Indian Unicorn,Information Technology,,Remote,Junior (1-3 yrs),Full-Time,,16,"SQL, JIRA, Agile",M.Tech/M.E.
Technical Lead,,PSU/Govt,HealthTech,,Tier 2,Fresher (0-1 yr),Part-Time,,3.8,"Agile, AWS, Microservices, Team Leadership, Code Review",B.Tech/B.E.
Software Engineer,,MNC,Information Technology,,Tier 2,Fresher (0-1 yr),Full-Time,,4.2,"Java, C++, Data Structures, System Design, Algorithms",MBA
Data Engineer,,MNC,Media & Entertainment,,Remote,Senior (6-10 yrs),Full-Time,,32.2,"dbt, Airflow, ETL",B.Tech/B.E.
Software Engineer,,MNC,FinTech,,Tier 2,Mid (3-6 yrs),Full-Time,,16.2,"System Design, Python, Data Structures",B.Tech/B.E.
React Developer,,MNC,Information Technology,,Tier 1,Fresher (0-1 yr),Part-Time,,4.7,"JavaScript, React, HTML/CSS, Redux, Next.js, TypeScript",M.Tech/M.E.
Java Developer,,Startup,Consulting,,Tier 1,Fresher (0-1 yr),Full-Time,,5.4,"Maven, Spring Boot, SQL",MBA
Technical Lead,,Startup,Banking & Finance,,Tier 1,Fresher (0-1 yr),Full-Time,,6.6,"Agile, Code Review, Microservices, AWS, Team Leadership",B.Tech/B.E.
Data Analyst,,MNC,Government/PSU,,Tier 1,Fresher (0-1 yr),Full-Time,,5.2,"Power BI, SQL, Data Visualization",PhD
Machine Learning Engineer,,Startup,EdTech,,Tier 1,Mid (3-6 yrs),Full-Time,,22.4,"Kubernetes, Scikit-learn, Python",B.Tech/B.E.
Data Analyst,,MNC,Information Technology,,Remote,Senior (6-10 yrs),Full-Time,,33.9,"Power BI, Statistics, Tableau, Data Visualization, SQL, Excel",MCA
Cybersecurity Analyst,,MNC,HealthTech,,Tier 2,Junior (1-3 yrs),Full-Time,,10.7,"Python, SIEM, Network Security, Ethical Hacking",MCA
DevOps Engineer,,MNC,EdTech,,Tier 2,Junior (1-3 yrs),Part-Time,,8.6,"AWS, Docker, Linux, CI/CD, Terraform, Ansible",B.Tech/B.E.
Python Developer,,MNC,Information Technology,,Tier 1,Lead (10+ yrs),Full-Time,,53.1,"PostgreSQL, FastAPI, AWS, REST APIs, Docker, Django",M.Tech/M.E.
Android Developer,,Indian Unicorn,Banking & Finance,,Tier 1,Lead (10+ yrs),Full-Time,,57.1,"Firebase, Jetpack Compose, Android SDK, REST APIs",M.Tech/M.E.
Technical Lead,,Indian Unicorn,Consulting,,Remote,Junior (1-3 yrs),Full-Time,,10.7,"Code Review, System Design, Microservices, AWS, Agile",PhD
Full Stack Developer,,Indian Unicorn,EdTech,,Tier 1,Junior (1-3 yrs),Full-Time,,13.6,"Docker, Node.js, AWS, PostgreSQL, React",M.Tech/M.E.
Backend Developer,,MNC,Information Technology,,Remote,Junior (1-3 yrs),Full-Time,,8.2,"Django, MongoDB, PostgreSQL, Node.js, FastAPI",BCA
Cybersecurity Analyst,,PSU/Govt,Government/PSU,,Tier 2,Junior (1-3 yrs),Full-Time,,6.9,"Python, SIEM, Ethical Hacking, Penetration Testing, Network Security",B.Tech/B.E.
Android Developer,,Indian Unicorn,Information Technology,,Remote,Mid (3-6 yrs),Part-Time,,26.6,"Jetpack Compose, REST APIs, Firebase",B.Tech/B.E.
Data Engineer,,MNC,Information Technology,,Remote,Mid (3-6 yrs),Full-Time,,14.7,"dbt, AWS, SQL",B.Tech/B.E.
Backend Developer,,MNC,HealthTech,,Remote,Fresher (0-1 yr),Contract,,5.2,"Node.js, Django, FastAPI, PostgreSQL, Python, Java",B.Tech/B.E.
UI/UX Designer,,PSU/Govt,HealthTech,,Remote,Junior (1-3 yrs),Full-Time,,6.3,"Wireframing, Figma, Prototyping, CSS",B.Tech/B.E.
iOS Developer,,Startup,Information Technology,,Remote,Fresher (0-1 yr),Full-Time,,7.4,"Core Data, Firebase, Swift, REST APIs, Xcode",B.Tech/B.E.
AI Engineer,,Startup,Manufacturing,,Remote,Senior (6-10 yrs),Full-Time,,45.3,"NLP, LLMs, Prompt Engineering, Vector DBs, Python, RAG",MBA
Node.js Developer,,PSU/Govt,Banking & Finance,,Remote,Senior (6-10 yrs),Contract,,18.9,"Express.js, Node.js, TypeScript, JavaScript",B.Tech/B.E.
Power BI Developer,,Startup,Consulting,,Tier 1,Mid (3-6 yrs),Full-Time,,21.2,"SQL, Power BI, Excel, DAX, Data Modeling, ETL",B.Tech/B.E.
React Developer,,Indian Unicorn,EdTech,,Remote,Junior (1-3 yrs),Full-Time,,9.3,"TypeScript, JavaScript, Next.js, HTML/CSS",B.Tech/B.E.
Node.js Developer,,MNC,Information Technology,,Tier 1,Mid (3-6 yrs),Contract,,18.9,"MongoDB, TypeScript, JavaScript, REST APIs, Express.js, Node.js",B.Tech/B.E.
Business Analyst,,Startup,Information Technology,,Tier 1,Senior (6-10 yrs),Full-Time,,49.9,"Power BI, Agile, Requirements Gathering",BCA
MLOps Engineer,,Startup,E-Commerce,,Tier 1,Lead (10+ yrs),Full-Time,,77.7,"Kubernetes, MLflow, AWS",M.Tech/M.E.
Engineering Manager,,PSU/Govt,Banking & Finance,,Tier 1,Fresher (0-1 yr),Internship,,2.2,"System Design, Roadmapping, OKRs, People Management",B.Tech/B.E.
MLOps Engineer,,PSU/Govt,Consulting,,Tier 2,Lead (10+ yrs),Internship,,2.7,"CI/CD, MLflow, Docker, Kubernetes, Airflow",B.Com + Certification
Software Engineer,,Indian Unicorn,FinTech,,Remote,Mid (3-6 yrs),Full-Time,,21,"Python, Java, REST APIs, C++, Algorithms, Data Structures",BCA
Data Analyst,,Indian Unicorn,Information Technology,,Tier 1,Mid (3-6 yrs),Full-Time,,20.8,"Python, Tableau, Excel, Data Visualization",BCA
Business Analyst,,MNC,EdTech,,Remote,Junior (1-3 yrs),Full-Time,,10.1,"Requirements Gathering, Excel, SQL",B.Tech/B.E.
AI Engineer,,Indian Unicorn,E-Commerce,,Tier 2,Mid (3-6 yrs),Full-Time,,27.3,"Vector DBs, Python, LLMs, OpenAI API, LangChain, NLP",MBA
Full Stack Developer,,MNC,Information Technology,,Tier 1,Mid (3-6 yrs),Internship,,0.8,"React, REST APIs, Node.js, MongoDB",B.Sc (CS/IT)
Blockchain Developer,,Indian Unicorn,HealthTech,,Remote,Mid (3-6 yrs),Full-Time,,30.1,"Web3.js, Ethereum, Python, Solidity",B.Tech/B.E.
Data Scientist,,Startup,E-Commerce,,Remote,Junior (1-3 yrs),Full-Time,,12.2,"TensorFlow, Python, Statistics, SQL, NLP, Machine Learning",B.Tech/B.E.
