Role,Company_Type,Industry,Location_Tier,Job_Type,Salary_LPA,Skills_Required,Education_Required,years_avg,post
DevOps Engineer,MNC,E-Commerce,Tier 2,Internship,1.2,"Ansible, Docker, CI/CD, Kubernetes",MCA,2,junior
Full Stack Developer,Indian Unicorn,HealthTech,Tier 1,Full-Time,24.3,"Node.js, AWS, REST APIs, MongoDB",B.Tech/B.E.,4.5,mid
Backend Developer,Startup,Information Technology,Tier 1,Full-Time,36.4,"Java, PostgreSQL, Docker, Django",B.Tech/B.E.,8,senior
Product Manager,Startup,EdTech,Tier 1,Full-Time,6.9,"User Research, JIRA, A/B Testing",B.Tech/B.E.,0.5,fresher
Android Developer,Startup,Information Technology,Remote,Contract,10.6,"Jetpack Compose, Kotlin, Android SDK, Java, REST APIs",B.Tech/B.E.,2,junior
DevOps Engineer,MNC,EdTech,Tier 1,Contract,37.4,"Terraform, Jenkins, AWS, Docker",MCA,8,senior
Backend Developer,Indian Unicorn,FinTech,Remote,Full-Time,43.5,"Java, Redis, Django, FastAPI, PostgreSQL, Docker",B.Tech/B.E.,8,senior
React Developer,Startup,FinTech,Tier 1,Contract,59.4,"React, HTML/CSS, TypeScript, Next.js",M.Tech/M.E.,10,lead
Data Analyst,Indian Unicorn,Government/PSU,Tier 1,Full-Time,44,"SQL, Statistics, Data Visualization, Tableau",MBA,8,senior
React Developer,Indian Unicorn,Information Technology,Tier 1,Full-Time,21.9,"React, HTML/CSS, Redux, JavaScript, TypeScript, Next.js",B.Tech/B.E.,4.5,mid
Data Analyst,Startup,Logistics,Tier 2,Full-Time,12.5,"Data Visualization, SQL, Statistics, Tableau, Power BI, Excel",B.Tech/B.E.,2,junior
Data Analyst,Indian Unicorn,EdTech,Tier 1,Contract,12.5,"Tableau, Excel, Python, Data Visualization, Statistics",B.Tech/B.E.,2,junior
iOS Developer,PSU/Govt,Government/PSU,Tier 1,Full-Time,3.6,"Firebase, SwiftUI, Swift, Core Data, REST APIs, Xcode",BCA,0.5,fresher
Data Engineer,PSU/Govt,E-Commerce,Remote,Full-Time,4.5,"Python, Kafka, SQL",B.Tech/B.E.,0.5,fresher
Python Developer,Indian Unicorn,FinTech,Tier 2,Full-Time,22.8,"Docker, Python, Django, REST APIs, AWS, FastAPI",M.Tech/M.E.,4.5,mid
Product Manager,PSU/Govt,Logistics,Tier 1,Full-Time,6.9,"Product Strategy, JIRA, A/B Testing",B.Tech/B.E.,2,junior
Backend Developer,PSU/Govt,FinTech,Remote,Full-Time,4.5,"Node.js, Redis, Docker, Django, Java, FastAPI",B.Tech/B.E.,0.5,fresher
Python Developer,Startup,Retail,Tier 2,Part-Time,40.8,"AWS, Python, REST APIs, FastAPI, PostgreSQL, Docker",B.Tech/B.E.,8,senior
Machine Learning Engineer,Indian Unicorn,Gaming,Remote,Full-Time,7.1,"TensorFlow, Python, Docker, AWS, Kubernetes, PyTorch",B.Tech/B.E.,0.5,fresher
Data Engineer,Startup,Information Technology,Tier 2,Full-Time,14.3,"Python, Kafka, SQL, dbt",M.Tech/M.E.,2,junior
Software Engineer,Indian Unicorn,Information Technology,Remote,Contract,47.5,"REST APIs, Python, System Design, Data Structures, Java",B.Tech/B.E.,8,senior
NLP Engineer,MNC,FinTech,Remote,Full-Time,10.5,"HuggingFace, Python, Transformers, TensorFlow, SpaCy, BERT",M.Tech/M.E.,2,junior
Full Stack Developer,Indian Unicorn,HealthTech,Tier 1,Full-Time,6.2,"PostgreSQL, MongoDB, React, Node.js, AWS",M.Tech/M.E.,0.5,fresher
AI Engineer,Startup,EdTech,Tier 1,Full-Time,52.9,"Vector DBs, LLMs, RAG, Prompt Engineering",B.Tech/B.E.,8,senior
Software Engineer,Indian Unicorn,Gaming,Tier 1,Full-Time,7.6,"C++, Python, System Design",B.Tech/B.E.,0.5,fresher
Backend Developer,MNC,Government/PSU,Tier 1,Full-Time,32.8,"Java, Redis, FastAPI, MongoDB",B.Tech/B.E.,8,senior
NLP Engineer,MNC,Media & Entertainment,Tier 1,Full-Time,7.3,"Transformers, TensorFlow, HuggingFace",B.Tech/B.E.,0.5,fresher
Frontend Developer,Indian Unicorn,Manufacturing,Remote,Full-Time,27.9,"HTML/CSS, TypeScript, React, Figma",MCA,4.5,mid
Android Developer,PSU/Govt,EdTech,Remote,Contract,6,"Java, Android SDK, Jetpack Compose, Firebase, REST APIs",B.Tech/B.E.,2,junior
Node.js Developer,MNC,FinTech,Tier 2,Full-Time,16.6,"Node.js, MongoDB, Express.js, TypeScript",MCA,4.5,mid
Android Developer,Indian Unicorn,Information Technology,Tier 1,Full-Time,11.2,"Kotlin, Jetpack Compose, REST APIs, Firebase, Android SDK",BCA,2,junior
Technical Lead,Indian Unicorn,HealthTech,Remote,Full-Time,14.1,"Agile, AWS, Code Review",M.Tech/M.E.,2,junior
Java Developer,MNC,Government/PSU,Remote,Full-Time,13.5,"Java, REST APIs, Maven, SQL",MCA,4.5,mid
Frontend Developer,MNC,Information Technology,Tier 2,Contract,33.3,"Figma, JavaScript, Tailwind CSS, HTML/CSS, React",B.Tech/B.E.,8,senior
Blockchain Developer,PSU/Govt,E-Commerce,Remote,Contract,4.2,"Ethereum, Web3.js, Solidity",B.Tech/B.E.,0.5,fresher
NLP Engineer,Indian Unicorn,Media & Entertainment,Tier 1,Full-Time,18.2,"Python, SpaCy, Transformers, BERT, LLMs, HuggingFace",B.Sc (CS/IT),2,junior
Product Manager,Startup,Manufacturing,Tier 1,Full-Time,10.3,"Agile, A/B Testing, JIRA, User Research, Roadmapping, SQL",B.Tech/B.E.,2,junior
React Developer,PSU/Govt,FinTech,Tier 2,Internship,1.7,"Redux, HTML/CSS, Next.js, React, JavaScript, TypeScript",B.Tech/B.E.,4.5,mid
Software Engineer,Startup,FinTech,Remote,Contract,31.3,"C++, Java, Algorithms",MCA,8,senior
Cybersecurity Analyst,MNC,Information Technology,Tier 1,Full-Time,11.6,"Python, Penetration Testing, Ethical Hacking",B.Tech/B.E.,2,junior
Data Scientist,PSU/Govt,Banking & Finance,Tier 1,Internship,1.7,"Machine Learning, Tableau, NLP, SQL, Python",M.Tech/M.E.,2,junior
Business Analyst,MNC,Consulting,Remote,Full-Time,4.9,"Requirements Gathering, Excel, JIRA, SQL, Power BI",M.Tech/M.E.,0.5,fresher
Power BI Developer,MNC,FinTech,Tier 1,Full-Time,20.5,"Azure, Data Modeling, ETL, Excel, DAX",M.Tech/M.E.,4.5,mid
AI Engineer,MNC,FinTech,Remote,Full-Time,32.3,"Vector DBs, RAG, LLMs",B.Tech/B.E.,8,senior
Cybersecurity Analyst,Indian Unicorn,Media & Entertainment,Remote,Full-Time,11,"Ethical Hacking, Python, Penetration Testing, Network Security",B.Tech/B.E.,2,junior
AI Engineer,Startup,Gaming,Remote,Contract,14.6,"Vector DBs, Prompt Engineering, OpenAI API, NLP, RAG",B.Tech/B.E.,2,junior
Full Stack Developer,MNC,Information Technology,Tier 1,Full-Time,59.8,"Docker, React, MongoDB, REST APIs",B.Tech/B.E.,10,lead
Frontend Developer,MNC,HealthTech,Tier 2,Full-Time,34.3,"JavaScript, HTML/CSS, TypeScript",M.Tech/M.E.,8,senior
AI Engineer,Startup,Information Technology,Tier 1,Full-Time,14.4,"RAG, NLP, LLMs, Prompt Engineering, LangChain, Python",B.Tech/B.E.,2,junior
UI/UX Designer,Startup,E-Commerce,Tier 1,Full-Time,63.8,"Wireframing, User Research, Prototyping, CSS, Adobe XD",MBA,10,lead
Business Analyst,MNC,FinTech,Tier 2,Full-Time,8.5,"JIRA, Requirements Gathering, SQL, Power BI, Excel, Agile",M.Tech/M.E.,2,junior
Software Engineer,PSU/Govt,FinTech,Remote,Full-Time,10.6,"Python, REST APIs, Git, Algorithms, Data Structures",M.Tech/M.E.,4.5,mid
Cloud Engineer,Startup,E-Commerce,Tier 1,Full-Time,9.4,"Docker, Azure, Terraform, Linux, AWS, Kubernetes",PhD,2,junior
Full Stack Developer,Indian Unicorn,E-Commerce,Tier 1,Full-Time,56.3,"React, REST APIs, MongoDB, Node.js",B.Tech/B.E.,8,senior
QA Engineer,Startup,Information Technology,Tier 2,Contract,6,"API Testing, Selenium, Python",BCA,0.5,fresher
Backend Developer,MNC,Information Technology,Tier 1,Full-Time,9.2,"Redis, Django, PostgreSQL",BCA,2,junior
QA Engineer,Startup,Consulting,Remote,Full-Time,10.9,"Manual Testing, JIRA, Python, Selenium, Postman",B.Tech/B.E.,2,junior
React Developer,MNC,EdTech,Tier 1,Internship,2.6,"Redux, React, TypeScript, HTML/CSS, Next.js, JavaScript",MCA,0.5,fresher
Data Scientist,Startup,Gaming,Remote,Part-Time,20.2,"Scikit-learn, Pandas, Machine Learning, Python, SQL",M.Tech/M.E.,4.5,mid
AI Engineer,PSU/Govt,FinTech,Tier 1,Contract,29.6,"Vector DBs, Prompt Engineering, OpenAI API, LangChain, NLP",MCA,10,lead
Software Engineer,MNC,EdTech,Tier 2,Full-Time,9.6,"Git, REST APIs, System Design, Java",MBA,2,junior
Power BI Developer,Indian Unicorn,Consulting,Tier 1,Part-Time,25.3,"Data Modeling, Azure, DAX, SQL, Excel, Power BI",M.Tech/M.E.,4.5,mid
Java Developer,Startup,Consulting,Tier 1,Full-Time,4.3,"Hibernate, Java, REST APIs",B.Tech/B.E.,0.5,fresher
Data Scientist,Startup,EdTech,Tier 2,Full-Time,55.7,"SQL, Statistics, Scikit-learn, TensorFlow, Pandas",M.Tech/M.E.,8,senior
Cloud Engineer,MNC,Information Technology,Remote,Contract,6.3,"Terraform, Azure, Linux, Kubernetes, GCP",B.Tech/B.E.,0.5,fresher
Power BI Developer,Startup,Information Technology,Tier 1,Contract,39.7,"DAX, Power BI, Excel, SQL, ETL",MCA,8,senior
Machine Learning Engineer,Startup,Information Technology,Tier 2,Full-Time,50.1,"TensorFlow, Python, AWS",B.Com + Certification,8,senior
Software Engineer,PSU/Govt,Banking & Finance,Remote,Full-Time,20.1,"Data Structures, Algorithms, System Design, REST APIs",M.Tech/M.E.,8,senior
Backend Developer,Startup,Information Technology,Tier 2,Full-Time,42.4,"Django, Node.js, FastAPI, Java, Redis, PostgreSQL",B.Tech/B.E.,8,senior
Frontend Developer,Indian Unicorn,EdTech,Remote,Full-Time,19.9,"Next.js, React, TypeScript",MCA,4.5,mid
React Developer,MNC,Information Technology,Remote,Internship,2.1,"Next.js, TypeScript, React",B.Sc (CS/IT),4.5,mid
Software Engineer,MNC,FinTech,Remote,Full-Time,10.1,"Data Structures, Algorithms, Java, Python",MBA,2,junior
Data Engineer,Startup,HealthTech,Remote,Full-Time,37.4,"Python, Kafka, Airflow, ETL, dbt, Spark",B.Tech/B.E.,8,senior
Data Scientist,PSU/Govt,Government/PSU,Tier 1,Full-Time,8.8,"SQL, Pandas, Machine Learning, Tableau",MBA,2,junior
Java Developer,Indian Unicorn,Information Technology,Tier 2,Contract,57.7,"Maven, REST APIs, Spring Boot, Hibernate, Microservices",M.Tech/M.E.,8,senior
Software Engineer,Indian Unicorn,HealthTech,Tier 1,Full-Time,15.9,"Algorithms, System Design, REST APIs, Data Structures, Java, Git",MBA,2,junior
MLOps Engineer,Startup,Information Technology,Tier 1,Full-Time,12.8,"Python, Airflow, Kubernetes",B.Tech/B.E.,2,junior
Software Engineer,MNC,HealthTech,Tier 1,Full-Time,7.7,"System Design, Data Structures, Git, Algorithms, C++",B.Tech/B.E.,2,junior
DevOps Engineer,MNC,Information Technology,Remote,Part-Time,23.8,"Docker, CI/CD, Ansible, AWS",M.Tech/M.E.,4.5,mid
AI Engineer,MNC,FinTech,Tier 2,Full-Time,45.1,"RAG, Vector DBs, LangChain, NLP, OpenAI API, LLMs",BCA,8,senior
Python Developer,Startup,Banking & Finance,Tier 1,Contract,16.8,"FastAPI, Docker, PostgreSQL",M.Tech/M.E.,4.5,mid
React Developer,MNC,HealthTech,Tier 1,Full-Time,40,"HTML/CSS, Redux, React, Next.js",MCA,8,senior
Data Engineer,MNC,Consulting,Tier 1,Internship,1.7,"AWS, Python, Airflow, ETL, Spark, dbt",BCA,2,junior
Product Manager,Indian Unicorn,Gaming,Tier 1,Contract,7.3,"User Research, Roadmapping, Product Strategy, A/B Testing, JIRA, Agile",B.Tech/B.E.,0.5,fresher
Data Scientist,MNC,Information Technology,Remote,Contract,22,"SQL, TensorFlow, Statistics",MBA,4.5,mid
Python Developer,Startup,E-Commerce,Remote,Contract,37,"Python, REST APIs, FastAPI, PostgreSQL, Django",B.Tech/B.E.,8,senior
Computer Vision Engineer,MNC,Consulting,Tier 1,Full-Time,8.4,"YOLO, Python, Deep Learning, TensorFlow, PyTorch",B.Tech/B.E.,2,junior
Computer Vision Engineer,PSU/Govt,E-Commerce,Remote,Full-Time,4.4,"Python, TensorFlow, OpenCV, PyTorch, YOLO",B.Tech/B.E.,0.5,fresher
Cloud Engineer,Indian Unicorn,EdTech,Remote,Full-Time,28.1,"Terraform, Azure, Docker, Kubernetes, Linux",MBA,4.5,mid
Frontend Developer,Startup,E-Commerce,Remote,Full-Time,4.2,"Figma, Tailwind CSS, JavaScript",B.Tech/B.E.,0.5,fresher
Machine Learning Engineer,Indian Unicorn,Banking & Finance,Remote,Full-Time,8,"TensorFlow, AWS, MLOps",B.Tech/B.E.,0.5,fresher
Backend Developer,Indian Unicorn,Banking & Finance,Tier 1,Contract,23,"Docker, Java, FastAPI",MCA,4.5,mid
UI/UX Designer,MNC,Banking & Finance,Remote,Internship,2.8,"Figma, User Research, Adobe XD",MCA,0.5,fresher
Engineering Manager,MNC,Information Technology,Remote,Full-Time,7.4,"System Design, Hiring, People Management, OKRs, Agile",B.Tech/B.E.,0.5,fresher
NLP Engineer,Indian Unicorn,Banking & Finance,Tier 1,Full-Time,77.2,"Transformers, HuggingFace, LLMs",M.Tech/M.E.,10,lead
Data Analyst,Startup,Information Technology,Tier 1,Full-Time,19.3,"Python, SQL, Excel, Tableau, Statistics, Data Visualization",B.Tech/B.E.,4.5,mid
Full Stack Developer,Startup,FinTech,Tier 2,Full-Time,23.3,"Docker, AWS, React, PostgreSQL, Node.js, REST APIs",B.Tech/B.E.,4.5,mid
React Developer,MNC,Banking & Finance,Tier 1,Internship,2.2,"Next.js, Redux, HTML/CSS, React",B.Com + Certification,10,lead
DevOps Engineer,MNC,EdTech,Tier 1,Full-Time,8.4,"CI/CD, Jenkins, Kubernetes, Docker, Linux",BCA,2,junior
Java Developer,Indian Unicorn,Information Technology,Remote,Contract,7.1,"Spring Boot, Microservices, REST APIs, Maven, Java, Hibernate",PhD,0.5,fresher
Data Engineer,MNC,Banking & Finance,Remote,Full-Time,15.1,"Airflow, AWS, Python",B.Sc (CS/IT),4.5,mid
Java Developer,MNC,FinTech,Remote,Full-Time,15.5,"SQL, Microservices, Spring Boot",B.Tech/B.E.,4.5,mid
Full Stack Developer,Startup,Information Technology,Tier 2,Full-Time,11.1,"REST APIs, Docker, React, PostgreSQL, AWS, Python",B.Tech/B.E.,2,junior
Product Manager,MNC,Information Technology,Tier 1,Full-Time,4.9,"A/B Testing, JIRA, SQL, Product Strategy, Agile, Roadmapping",B.Tech/B.E.,0.5,fresher
Node.js Developer,MNC,EdTech,Remote,Full-Time,22.1,"Express.js, REST APIs, MongoDB",B.Sc (CS/IT),4.5,mid
Java Developer,Indian Unicorn,HealthTech,Remote,Full-Time,42.1,"Java, Microservices, Maven",B.Tech/B.E.,8,senior
MLOps Engineer,MNC,Information Technology,Tier 1,Full-Time,21.9,"Kubernetes, Python, CI/CD, AWS",PhD,4.5,mid
Backend Developer,MNC,E-Commerce,Tier 1,Contract,18.9,"PostgreSQL, Node.js, MongoDB",M.Tech/M.E.,4.5,mid
Engineering Manager,Startup,Government/PSU,Remote,Full-Time,31.4,"Roadmapping, Agile, System Design",B.Com + Certification,8,senior
Python Developer,Indian Unicorn,Banking & Finance,Remote,Full-Time,75.3,"FastAPI, Python, REST APIs, Django, PostgreSQL",B.Tech/B.E.,10,lead
Python Developer,Startup,Information Technology,Remote,Full-Time,33,"AWS, PostgreSQL, REST APIs",B.Tech/B.E.,8,senior
Node.js Developer,Startup,Information Technology,Tier 1,Full-Time,14.6,"REST APIs, Node.js, JavaScript, MongoDB, Express.js",B.Tech/B.E.,2,junior
MLOps Engineer,PSU/Govt,Government/PSU,Remote,Full-Time,7,"CI/CD, Python, MLflow, Airflow, Docker, Kubernetes",M.Tech/M.E.,2,junior
Engineering Manager,MNC,HealthTech,Tier 2,Full-Time,5.8,"Agile, OKRs, People Management, Hiring",B.Com + Certification,0.5,fresher
DevOps Engineer,Indian Unicorn,HealthTech,Tier 1,Full-Time,5.9,"Docker, Linux, AWS, Kubernetes, Terraform, CI/CD",M.Tech/M.E.,0.5,fresher
Software Engineer,Startup,EdTech,Remote,Full-Time,53.7,"Java, C++, Data Structures, REST APIs, Python",B.Tech/B.E.,8,senior
React Developer,MNC,Banking & Finance,Tier 2,Full-Time,17.9,"TypeScript, Redux, React, Next.js, HTML/CSS, JavaScript",B.Tech/B.E.,4.5,mid
Python Developer,Startup,EdTech,Tier 2,Full-Time,11.6,"AWS, PostgreSQL, FastAPI, Python, REST APIs",B.Tech/B.E.,2,junior
React Developer,Indian Unicorn,Banking & Finance,Remote,Full-Time,5.8,"React, JavaScript, TypeScript",M.Tech/M.E.,0.5,fresher
Computer Vision Engineer,MNC,Banking & Finance,Tier 2,Full-Time,42.9,"TensorFlow, YOLO, Deep Learning, PyTorch",B.Sc (CS/IT),8,senior
Backend Developer,PSU/Govt,Media & Entertainment,Remote,Full-Time,6.2,"Java, Docker, Redis, Node.js, FastAPI, PostgreSQL",MCA,2,junior
Technical Lead,PSU/Govt,Information Technology,Tier 2,Contract,4.5,"Microservices, Agile, AWS, System Design",B.Com + Certification,0.5,fresher
Software Engineer,MNC,Retail,Tier 1,Full-Time,48.6,"Python, Algorithms, REST APIs",MBA,10,lead
Java Developer,PSU/Govt,Information Technology,Tier 1,Part-Time,9.9,"Microservices, SQL, Maven, Java, REST APIs",M.Tech/M.E.,4.5,mid
DevOps Engineer,Indian Unicorn,Manufacturing,Tier 1,Full-Time,9.2,"Ansible, Terraform, Docker, Kubernetes, AWS, Jenkins",B.Sc (CS/IT),2,junior
Data Scientist,MNC,Automobile,Remote,Full-Time,5.9,"Deep Learning, Tableau, Statistics, Scikit-learn, NLP",B.Tech/B.E.,0.5,fresher
React Developer,MNC,Logistics,Remote,Full-Time,5.2,"Redux, React, HTML/CSS, JavaScript, Next.js, TypeScript",B.Tech/B.E.,0.5,fresher
AI Engineer,Startup,Information Technology,Remote,Full-Time,18.4,"LangChain, Python, RAG, NLP, Prompt Engineering",BCA,4.5,mid
Backend Developer,Indian Unicorn,Information Technology,Remote,Full-Time,51.4,"Node.js, FastAPI, Python, Django, Redis, Java",M.Tech/M.E.,8,senior
Node.js Developer,Startup,E-Commerce,Remote,Full-Time,20.3,"JavaScript, MongoDB, Express.js, REST APIs, TypeScript",MCA,4.5,mid
Frontend Developer,Indian Unicorn,Information Technology,Tier 1,Full-Time,24.3,"HTML/CSS, Figma, Tailwind CSS, JavaScript, TypeScript, React",MBA,4.5,mid
Data Analyst,Startup,Information Technology,Tier 2,Full-Time,20.2,"Python, Tableau, Excel, Data Visualization, Statistics, SQL",BCA,4.5,mid
Frontend Developer,Indian Unicorn,HealthTech,Remote,Full-Time,12,"HTML/CSS, Tailwind CSS, Next.js, TypeScript, Figma, JavaScript",B.Sc (CS/IT),2,junior
Node.js Developer,MNC,E-Commerce,Tier 1,Full-Time,9.9,"MongoDB, JavaScript, TypeScript, Node.js",B.Tech/B.E.,2,junior
Blockchain Developer,Startup,Government/PSU,Remote,Full-Time,32.5,"Smart Contracts, Ethereum, Python, Solidity",MBA,8,senior
UI/UX Designer,PSU/Govt,Government/PSU,Remote,Part-Time,6.1,"User Research, Prototyping, CSS, Figma",B.Tech/B.E.,2,junior
QA Engineer,Indian Unicorn,EdTech,Remote,Part-Time,29.2,"Postman, JIRA, API Testing, Selenium, Manual Testing",B.Tech/B.E.,4.5,mid
Node.js Developer,Startup,Information Technology,Remote,Full-Time,81,"JavaScript, Express.js, MongoDB, Node.js, REST APIs",B.Sc (CS/IT),10,lead
Cybersecurity Analyst,MNC,Consulting,Remote,Full-Time,17,"Network Security, Penetration Testing, Ethical Hacking, SIEM, Python",M.Tech/M.E.,4.5,mid
AI Engineer,Startup,HealthTech,Tier 1,Full-Time,6.2,"NLP, OpenAI API, Python",B.Com + Certification,0.5,fresher
Backend Developer,MNC,Information Technology,Tier 1,Full-Time,34.4,"MongoDB, Node.js, Java, FastAPI, PostgreSQL, Django",B.Tech/B.E.,8,senior
AI Engineer,Startup,Banking & Finance,Tier 1,Full-Time,43.8,"Vector DBs, Prompt Engineering, NLP, OpenAI API, LangChain",M.Tech/M.E.,8,senior
Machine Learning Engineer,MNC,Information Technology,Tier 1,Contract,4.5,"Docker, AWS, TensorFlow, MLOps, Kubernetes",B.Tech/B.E.,0.5,fresher
React Developer,Startup,Information Technology,Tier 1,Full-Time,5,"Next.js, JavaScript, React, HTML/CSS, TypeScript, Redux",B.Tech/B.E.,0.5,fresher
Power BI Developer,Indian Unicorn,Manufacturing,Remote,Contract,13.9,"DAX, ETL, Power BI, Azure, Excel, Data Modeling",B.Tech/B.E.,2,junior
Software Engineer,Startup,Information Technology,Tier 1,Full-Time,41.4,"Algorithms, REST APIs, Java",B.Tech/B.E.,8,senior
Backend Developer,MNC,E-Commerce,Tier 1,Full-Time,13.4,"Redis, Java, MongoDB",M.Tech/M.E.,4.5,mid
Blockchain Developer,Indian Unicorn,FinTech,Remote,Contract,11,"Smart Contracts, Python, Web3.js, Solidity, Ethereum",BCA,2,junior
Engineering Manager,Startup,Information Technology,Tier 1,Full-Time,11.4,"People Management, System Design, Agile, OKRs",M.Tech/M.E.,2,junior
Blockchain Developer,PSU/Govt,Information Technology,Tier 2,Full-Time,11.9,"Ethereum, Web3.js, Smart Contracts",M.Tech/M.E.,4.5,mid
Node.js Developer,MNC,Banking & Finance,Remote,Full-Time,6.7,"Express.js, REST APIs, MongoDB, Node.js",MBA,2,junior
Java Developer,Startup,Gaming,Remote,Full-Time,4.8,"Maven, Spring Boot, Hibernate, Java",M.Tech/M.E.,0.5,fresher
Product Manager,Indian Unicorn,EdTech,Tier 2,Contract,28.1,"Agile, A/B Testing, Product Strategy, User Research",M.Tech/M.E.,4.5,mid
React Developer,Indian Unicorn,Government/PSU,Tier 1,Full-Time,10.7,"TypeScript, JavaScript, HTML/CSS, Redux, Next.js, React",MBA,2,junior
Java Developer,Startup,FinTech,Tier 2,Part-Time,6.2,"Java, Hibernate, SQL, Microservices, Maven",B.Tech/B.E.,0.5,fresher
Machine Learning Engineer,Startup,Information Technology,Tier 2,Full-Time,40.2,"Python, MLOps, TensorFlow, AWS",B.Tech/B.E.,8,senior
MLOps Engineer,MNC,Information Technology,Tier 1,Internship,1.1,"Airflow, CI/CD, Kubernetes, Docker, Python, MLflow",B.Sc (CS/IT),4.5,mid
Machine Learning Engineer,Startup,Government/PSU,Remote,Contract,21.5,"Python, PyTorch, MLOps, TensorFlow",B.Tech/B.E.,4.5,mid
Software Engineer,Startup,Information Technology,Remote,Internship,1.2,"C++, REST APIs, Java, Algorithms, Git, System Design",B.Tech/B.E.,0.5,fresher
Software Engineer,Startup,Government/PSU,Tier 2,Internship,3,"C++, Git, System Design, Algorithms, Data Structures",MCA,8,senior
Software Engineer,PSU/Govt,Information Technology,Tier 1,Contract,7.7,"Java, Python, Data Structures, REST APIs",B.Com + Certification,2,junior
Data Engineer,MNC,E-Commerce,Tier 2,Internship,1.7,"Airflow, Spark, dbt, Kafka, Python, AWS",BCA,2,junior
Backend Developer,Startup,FinTech,Remote,Full-Time,6.2,"PostgreSQL, MongoDB, Redis, Java, FastAPI, Node.js",M.Tech/M.E.,0.5,fresher
Full Stack Developer,Indian Unicorn,Information Technology,Remote,Full-Time,20.7,"React, PostgreSQL, REST APIs",M.Tech/M.E.,4.5,mid
Data Scientist,PSU/Govt,E-Commerce,Remote,Full-Time,7.5,"NLP, Python, SQL",M.Tech/M.E.,2,junior
React Developer,MNC,Information Technology,Tier 2,Full-Time,6.1,"TypeScript, React, Next.js, JavaScript",B.Tech/B.E.,0.5,fresher
Software Engineer,Indian Unicorn,Gaming,Tier 2,Full-Time,5.4,"Git, System Design, Data Structures, Algorithms, C++, Python",BCA,0.5,fresher
Power BI Developer,Startup,Government/PSU,Remote,Internship,2.2,"Excel, DAX, Power BI, SQL, Azure, Data Modeling",B.Sc (CS/IT),0.5,fresher
Research Scientist,Indian Unicorn,Information Technology,Tier 1,Full-Time,24.4,"Statistics, NLP, Python, Deep Learning, Publications, PyTorch",M.Tech/M.E.,4.5,mid
Data Engineer,Startup,Manufacturing,Tier 2,Full-Time,14.8,"Python, Kafka, SQL, AWS",B.Tech/B.E.,4.5,mid
NLP Engineer,Indian Unicorn,Information Technology,Tier 1,Full-Time,23.9,"LLMs, Python, HuggingFace, SpaCy, Transformers, BERT",M.Tech/M.E.,4.5,mid
Software Engineer,MNC,FinTech,Tier 1,Full-Time,10,"Python, Algorithms, Data Structures, Java, Git",B.Tech/B.E.,2,junior
Android Developer,MNC,Information Technology,Tier 1,Full-Time,31.4,"Firebase, Kotlin, Android SDK, REST APIs",B.Tech/B.E.,8,senior
QA Engineer,Startup,Information Technology,Tier 1,Internship,3.4,"Selenium, API Testing, JIRA, Postman, Manual Testing, Python",B.Tech/B.E.,8,senior
Python Developer,Indian Unicorn,E-Commerce,Remote,Full-Time,28.4,"Python, AWS, FastAPI, Docker",B.Tech/B.E.,4.5,mid
Java Developer,Startup,Information Technology,Tier 2,Full-Time,19.3,"REST APIs, Maven, Microservices, Spring Boot, SQL, Hibernate",B.Tech/B.E.,4.5,mid
DevOps Engineer,PSU/Govt,Information Technology,Tier 2,Full-Time,6.3,"CI/CD, Docker, Jenkins",MBA,2,junior
Software Engineer,MNC,Government/PSU,Remote,Full-Time,9.1,"C++, REST APIs, System Design, Java, Data Structures, Git",BCA,2,junior
Backend Developer,MNC,Information Technology,Tier 1,Full-Time,18.6,"MongoDB, Java, Python",M.Tech/M.E.,4.5,mid
Frontend Developer,Indian Unicorn,FinTech,Tier 1,Internship,3.5,"Next.js, React, HTML/CSS, JavaScript",MCA,10,lead
Cybersecurity Analyst,Indian Unicorn,Information Technology,Remote,Full-Time,7.6,"Penetration Testing, SIEM, Ethical Hacking, Network Security, Python",MBA,0.5,fresher
Node.js Developer,MNC,Banking & Finance,Tier 1,Full-Time,9.2,"MongoDB, TypeScript, JavaScript, Express.js",MCA,2,junior
Android Developer,Startup,E-Commerce,Remote,Full-Time,39.4,"REST APIs, Java, Android SDK",MCA,8,senior
Data Engineer,PSU/Govt,E-Commerce,Remote,Full-Time,16.8,"Airflow, dbt, Kafka",M.Tech/M.E.,8,senior
Backend Developer,Indian Unicorn,EdTech,Tier 1,Full-Time,21.9,"FastAPI, Python, Java, MongoDB, Docker, PostgreSQL",B.Tech/B.E.,4.5,mid
AI Engineer,Indian Unicorn,Government/PSU,Tier 1,Part-Time,69.9,"Vector DBs, Python, Prompt Engineering",MBA,8,senior
Java Developer,Indian Unicorn,Manufacturing,Tier 2,Full-Time,14.2,"Microservices, SQL, Maven, Java, Spring Boot",B.Tech/B.E.,2,junior
Data Engineer,Startup,Retail,Remote,Full-Time,9.1,"dbt, Airflow, ETL, AWS, Python",MCA,2,junior
Python Developer,MNC,EdTech,Remote,Full-Time,38.5,"AWS, FastAPI, Django, PostgreSQL, Docker",MCA,8,senior
Full Stack Developer,Startup,Manufacturing,Tier 1,Full-Time,38.4,"Docker, PostgreSQL, AWS, Python, Node.js, React",B.Tech/B.E.,8,senior
